GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CalculoImc,calculoimc.CalculoImc,IMCService,0,19,0,0,0,6,0,2,0,2
CalculoImc,calculoimc.CalculoImc,CalculoImcApplication,75,74,0,26,17,16,3,15,3,2
